annee,mesure,libelle_mesure,tranche_age,libelle_age,valeur,statut
2010,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,130.0,
2011,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,130.0,
2012,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,128.0,
2013,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,127.0,
2014,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,127.0,
2015,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,124.0,
2016,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,122.0,
2017,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,120.0,
2018,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,118.0,
2019,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,117.0,
2020,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,114.0,
2021,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,115.0,
2022,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,111.0,
2023,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,102.0,
2024,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,98.0,
2025,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,95.0,
1998,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y35T49,35-49 ans,28.0,
1999,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y35T49,35-49 ans,29.0,
2000,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y35T49,35-49 ans,31.0,
2001,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y35T49,35-49 ans,32.0,
2002,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y35T49,35-49 ans,32.0,
2003,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y35T49,35-49 ans,33.0,
2004,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y35T49,35-49 ans,34.0,
2005,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y35T49,35-49 ans,35.0,
2006,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y35T49,35-49 ans,37.0,
2007,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y35T49,35-49 ans,38.0,
2008,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y35T49,35-49 ans,39.0,
2009,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y35T49,35-49 ans,39.0,
2010,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y35T49,35-49 ans,40.0,
2011,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y35T49,35-49 ans,41.0,
2012,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y35T49,35-49 ans,42.0,
2013,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y35T49,35-49 ans,43.0,
2014,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y35T49,35-49 ans,44.0,
2015,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y35T49,35-49 ans,44.0,
2016,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y35T49,35-49 ans,44.0,
2017,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y35T49,35-49 ans,44.0,
2018,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y35T49,35-49 ans,45.0,
2019,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y35T49,35-49 ans,45.0,
2020,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y35T49,35-49 ans,45.0,
2021,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y35T49,35-49 ans,46.0,
2022,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y35T49,35-49 ans,46.0,
2023,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y35T49,35-49 ans,44.0,
2024,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y35T49,35-49 ans,43.0,
2025,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y35T49,35-49 ans,43.0,
1994,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",_T,Toutes tranches,168.0,
1995,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",_T,Toutes tranches,173.0,
1996,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",_T,Toutes tranches,175.0,
1997,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",_T,Toutes tranches,174.0,
1998,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",_T,Toutes tranches,178.0,
1999,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",_T,Toutes tranches,181.0,
2000,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",_T,Toutes tranches,189.0,
2001,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",_T,Toutes tranches,189.0,
